name||price||brand||size_value||size_unit||category||subcategory||url||timestamp
Britannia 50-50 Maska Chaska Biscuits 105 g	₹25.00	BRITANNIA	105	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Cadbury Oreo Pokemon Original Vanilla Cream Biscuit 275.55 g	₹69.00	OREO	275.55	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia Good Day Cashew Cookies 90.5 g	₹21.00	BRITANNIA	90.5	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Dukes Masala Nibbles 150 g	₹37.00	DUKES	150	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Mcvitie's Digestive Biscuits 200 g	₹31.00	MCVITIE'S	200	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia Milk Bikis Milky Sandwich Biscuits 200 g	₹46.00	BRITANNIA	200	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Unibic Sugar Free Cashew Butter Cookies 67.5 g	₹50.00	UNIBIC	67.5	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia Marie Gold Biscuits Combo Pack 585 g (Buy 4 Get 1 Free)	₹84.00	MARIEGOLD	585	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia Good Day Butter Jeera Cookies 450 g	₹89.00	GOOD DAY	450	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Parle Hide & Seek Choco Rolls 250 g	₹75.00	PARLE	250	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
